Pnum,Owner,Species,State.code,Closed,Clear.date,Suspected.predation,Lay.date,Expected.hatch.date,Hatch.date,Total.egg.weight,Num.eggs.weighed,Clutch.size,Num.chicks,Num.chicks.ringed,Num.dead.chicks,Num.fledglings,Mean.chick.weight,Father,Mother,Dead.ringed.chick.ids,Comments
20201B1,Keith Mc Mahon,b,6,TRUE,26/05/2020,NA,25/04/2020,NA,NA,3.4,3,3,NA,0,0,0,NA,NA,NA,NA,fleas hopping around
20201B10,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B100,Keith Mc Mahon,b,6,TRUE,26/05/2020,NA,15/04/2020,06/05/2020,04/05/2020,NA,NA,9,8,8,0,8,11.15,j215720,afh3098,NA,not hatched
20201B101,Keith Mc Mahon,b,6,TRUE,26/05/2020,NA,17/04/2020,07/05/2020,06/05/2020,3.5,3,8,8,8,0,8,11.81,and7457,afh3283,NA,"not hatched female ringed, female seen on nest"
20201B102,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B103,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B104,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B105,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B106,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B107,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B108,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B109,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B11,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,16/04/2020,07/05/2020,06/05/2020,4.9,3,9,9,9,0,9,16.68,vz30774,vz30536,NA,not hatched
20201B110,Keith Mc Mahon,b,6,TRUE,06/06/2020,NA,26/04/2020,16/05/2020,15/05/2020,3.7,3,9,6,2,4,2,7.95,NA,afh4072,NA,NA
20201B111,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B112,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B113,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,17/04/2020,06/05/2020,07/05/2020,3.4,3,8,7,7,0,7,11.73,NA,avl3037,NA,"female unringed, not hatched both adults not ringed, not hatched, nothing on fp, both unringed, fon young not counted"
20201B114,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B115,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B12,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,23/04/2020,10/05/2020,11/05/2020,NA,NA,6,5,5,4,1,12.54,NA,vz30574,"tw77142, tw77143, tw77144, tw77141","missed weighing small clutch, not natched, nothing on fp, only female alarm calling nearby, not hatched"
20201B127,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,22/04/2020,12/05/2020,13/05/2020,3.8,3,8,8,8,0,8,10.16,j215807,j215817,NA,"not hatched, not hatched"
20201B128,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B129,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B13,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B130,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,18/04/2020,05/05/2020,07/05/2020,3.5,3,5,5,5,0,5,11.02,and7454,afh2697,NA,"forgot to check today, not hatched"
20201B131,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,17/04/2020,08/05/2020,NA,3.1,3,9,NA,0,0,0,NA,NA,NA,NA,eggs cold
20201B133,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B134,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B136,Keith Mc Mahon,b,6,TRUE,27/05/2020,NA,14/04/2020,06/05/2020,05/05/2020,3.2,3,10,7,7,0,7,10.57,avl3022,avl3024,NA,"female unringed, nothing on fp"
20201B137,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B138,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B139,Keith Mc Mahon,b,6,TRUE,21/05/2020,NA,12/04/2020,NA,NA,3.27,3,9,NA,0,0,0,NA,NA,NA,NA,"still cold, still covered and cold, still cold, still cold"
20201B14,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B140,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B141,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B142,Keith Mc Mahon,g,6,TRUE,29/05/2020,NA,28/04/2020,16/05/2020,15/05/2020,5.6,3,6,6,0,3,0,NA,NA,vz31162,NA,"no sign of male, chicks looked like ringing age"
20201B142A,Keith Mc Mahon,b,6,TRUE,26/05/2020,NA,10/05/2020,26/05/2020,NA,NA,NA,4,NA,0,0,0,NA,NA,NA,NA,"female unringed, eggs cold"
20201B143,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B144,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B145,Keith Mc Mahon,g,6,TRUE,16/06/2020,NA,02/05/2020,16/05/2020,23/05/2020,NA,NA,2,2,2,0,2,18.4,vb55885,vs84265,NA,no catch
20201B146,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B147,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,17/04/2020,10/05/2020,09/05/2020,3.2,3,11,11,11,1,10,9.97,and6874,avl3049,avl3305,female unringed
20201B148,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B149,Keith Mc Mahon,b,6,TRUE,24/05/2020,NA,17/04/2020,08/05/2020,10/05/2020,3.2,3,9,3,0,0,0,NA,afh4130,NA,NA,"male ringed, female unringed, not hatched, not hatched, fon no yn, front off the box nest gone. Had been there yesterday waiting for female but she didn't show and I never touched the box, perhaps GSW predation"
20201B15,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,14/04/2020,03/05/2020,03/05/2020,4,3,7,7,7,0,7,11.24,afh2618,avl3016,NA,"small eggs but looks like greti, fon unringed, male"
20201B150,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,21/04/2020,10/05/2020,09/05/2020,5.2,3,7,5,4,1,3,15.38,NA,tw41887,tw77102,NA
20201B151,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,24/04/2020,13/05/2020,NA,3.6,3,7,NA,0,0,0,NA,NA,NA,NA,"female unringed, eggs cold"
20201B152,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,15/04/2020,06/05/2020,07/05/2020,3.6,3,9,9,9,0,9,11.43,abj6260,NA,NA,"female unringed, not hathced, not hatched, male, female unringed"
20201B153,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,20/04/2020,10/05/2020,11/05/2020,5.5,3,8,5,5,0,5,15.76,NA,tr42599,NA,"dropped one egg, not hatched fon, not hatched, faceplate died, no records, not hatched, only female alarm calling nearby"
20201B154,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B155,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B156,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B157,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,23/04/2020,13/05/2020,12/05/2020,3.4,3,8,8,8,1,7,10.33,z101406,afh4434,avl3407,"fon, nothing on fp, fon no count"
20201B158,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B159,Keith Mc Mahon,b,6,TRUE,23/04/2020,NA,16/04/2020,NA,NA,3.7,3,5,NA,0,0,0,NA,NA,NA,NA,"bluti inside, bracket fell of rotting trunk"
20201B160,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B161,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,15/04/2020,06/05/2020,06/05/2020,5.3,3,9,8,8,0,8,18.7,te80930,tw77018,NA,"female unringed, not hatched"
20201B162,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,20/04/2020,10/05/2020,09/05/2020,3.7,3,9,9,9,0,9,22.24,afh2637,NA,NA,female unringed
20201B163,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,18/04/2020,10/05/2020,10/05/2020,3.1,3,11,10,8,5,5,8.25,afh3486,afh3316,"avl3347, avl3343, avl3341",not hatched
20201B164,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B165,Keith Mc Mahon,g,6,TRUE,22/05/2020,NA,23/04/2020,13/05/2020,16/05/2020,5.5,3,8,7,0,0,0,NA,NA,NA,NA,chicks cold and hungry
20201B166,Keith Mc Mahon,NA,6,TRUE,26/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B168,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B169,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B170,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B170A,Keith Mc Mahon,g,6,TRUE,26/05/2020,NA,22/04/2020,12/05/2020,12/05/2020,5,3,8,8,0,2,0,NA,tr43319,tr43325,NA,"fon ringed, not hatched, yd looked about 13/14"
20201B171,Keith Mc Mahon,b,6,TRUE,31/05/2020,NA,20/05/2020,08/06/2020,NA,NA,NA,7,NA,0,0,0,NA,NA,z628418,NA,eggs cold
20201B172,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B173,Keith Mc Mahon,b,6,TRUE,27/05/2020,NA,17/04/2020,06/05/2020,05/05/2020,NA,NA,8,7,7,0,7,11.89,avl3023,abj6250,NA,"ring read on nest, not hatched female off nest still warm, not hatched fon, not hatched fon, not hatched, female"
20201B174,Keith Mc Mahon,g,6,TRUE,04/06/2020,NA,22/04/2020,10/05/2020,10/05/2020,5,3,7,7,7,0,7,18.1,vs84187,vz30933,NA,"not hatched, nothing on fp fon no yn"
20201B175,Keith Mc Mahon,g,6,TRUE,26/05/2020,NA,20/04/2020,NA,NA,5.5,3,3,NA,0,0,0,NA,NA,NA,NA,"fleas on eggs, looks abandoned"
20201B176,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B180,Sam Crofts,b,6,TRUE,05/06/2020,NA,22/04/2020,15/05/2020,15/05/2020,3.7,4,11,9,1,7,1,9.2,avl7814,avl7815,NA,"warm eggs, FON"
20201B198,Keith Mc Mahon,g,6,TRUE,23/05/2020,NA,20/04/2020,10/05/2020,09/05/2020,5.2,3,8,8,0,8,0,NA,tx42887,tw41886,NA,young looked 13 days old
20201B199,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B2,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B200,Keith Mc Mahon,b,6,TRUE,26/05/2020,NA,08/04/2020,02/05/2020,03/05/2020,3.17,3,12,10,10,0,10,10.77,and6637,avl3018,NA,"possibly coati, not hatched fon, male"
20201B203,Keith Mc Mahon,b,6,TRUE,06/06/2020,NA,25/04/2020,10/05/2020,21/05/2020,3.3,3,3,3,1,0,1,9.8,abj6165,NA,NA,"female inside, unringed no eggs, fon unringed, chicks very hungry didn't try to catch"
20201B206,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B211,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,20/04/2020,10/05/2020,09/05/2020,3.5,3,8,7,7,0,7,11.07,NA,avl3093,NA,"nothing on fp, no birds caught"
20201B216,Keith Mc Mahon,b,6,TRUE,06/06/2020,NA,30/04/2020,19/05/2020,18/05/2020,3.5,3,7,5,2,3,2,8.45,NA,avl6523,NA,NA
20201B218,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,bluti flew out
20201B219,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,20/04/2020,08/05/2020,NA,3.4,3,6,NA,0,0,0,NA,NA,NA,NA,"female ring starts afh5, eggs cold"
20201B220,Keith Mc Mahon,b,6,TRUE,04/06/2020,NA,19/04/2020,12/05/2020,12/05/2020,3.5,3,11,11,11,0,11,10.12,abj6162,afh3624,NA,not hatched
20201B221,Keith Mc Mahon,g,6,TRUE,22/05/2020,NA,19/04/2020,10/05/2020,11/05/2020,5.2,3,9,9,0,2,0,NA,vz33585,NA,NA,"not hatched female unringed, not hatched"
20201B222,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
20201B223,Keith Mc Mahon,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
