"Metric","Comparison","N","Mean_Diff","t","P_Value","Lambda","Lambda_P"
"mean_lifespan","Senescence vs No-senescence",13,-0.2329,-2.547,0.0256,1e-04,1
"var_lifespan","Senescence vs No-senescence",13,-250.3009,-1.055,0.3122,1e-04,1
"skew_lifespan","Senescence vs No-senescence",13,-1.0622,-3.507,0.0043,1e-04,1
"mean_LRO","Senescence vs No-senescence",13,-0.0814,-4.288,0.0011,0.1958,0.5666
"mean_LRO","Senescence vs No-actuarial/Yes-reproductive",13,0.0047,0.306,0.7646,1e-04,1
"mean_LRO","Senescence vs Yes-actuarial/No-reproductive",13,-0.0437,-4.318,0.001,1e-04,1
"var_LRO","Senescence vs No-senescence",13,-1.2372,-2.517,0.0271,1e-04,1
"var_LRO","Senescence vs No-actuarial/Yes-reproductive",13,-0.4094,-0.96,0.3561,1e-04,1
"var_LRO","Senescence vs Yes-actuarial/No-reproductive",13,-0.388,-2.221,0.0464,1e-04,1
"skew_LRO","Senescence vs No-senescence",13,-0.3771,-3.966,0.0019,1e-04,1
"skew_LRO","Senescence vs No-actuarial/Yes-reproductive",13,-0.1419,-1.253,0.2342,1e-04,1
"skew_LRO","Senescence vs Yes-actuarial/No-reproductive",13,-0.0544,-3.527,0.0042,1e-04,1
