Species,Age,sx,fx
Accipiter nisus,1,0.453,1.58
Accipiter nisus,2,0.626,2.3
Accipiter nisus,3,0.609,2.73
Accipiter nisus,4,0.686,3.25
Accipiter nisus,5,0.66,3.48
Accipiter nisus,6,0.571,3.49
Accipiter nisus,7,0.516,2.64
Accipiter nisus,8,0.415,2.5
Accipiter nisus,9,0.279,0
Capreolus capreolus,1,0.741573034,0.02247191
Capreolus capreolus,2,0.863636364,0.666666667
Capreolus capreolus,3,0.947368421,0.640350877
Capreolus capreolus,4,0.925925926,0.62962963
Capreolus capreolus,5,0.9,0.46
Capreolus capreolus,6,0.911111111,0.5
Capreolus capreolus,7,0.780487805,0.475609756
Capreolus capreolus,8,0.8125,0.40625
Capreolus capreolus,9,0.769230769,0.365384615
Capreolus capreolus,10,0.6,0.3
Capreolus capreolus,11,0.75,0.375
Capreolus capreolus,12,0.444444444,0.333333333
Capreolus capreolus,13,0,0.625
Cervus elaphus,1,0.84040747,0
Cervus elaphus,2,0.913131313,0
Cervus elaphus,3,0.900442478,0.03539823
Cervus elaphus,4,0.906633907,0.108108108
Cervus elaphus,5,0.913279133,0.096205962
Cervus elaphus,6,0.908011869,0.09495549
Cervus elaphus,7,0.928104575,0.135620915
Cervus elaphus,8,0.915492958,0.125
Cervus elaphus,9,0.892307692,0.126923077
Cervus elaphus,10,0.875,0.129310345
Cervus elaphus,11,0.837438424,0.098522167
Cervus elaphus,12,0.782352941,0.1
Cervus elaphus,13,0.736842105,0.086466165
Cervus elaphus,14,0.663265306,0.076530612
Cervus elaphus,15,0.676923077,0.038461538
Cervus elaphus,16,0.545454545,0.045454545
Cervus elaphus,17,0.625,0.020833333
Cervus elaphus,18,0.4,0.033333333
Cervus elaphus,19,0.166666667,0
Cervus elaphus,20,0.9999,0
Cervus elaphus,21,0.9999,0
Cervus elaphus,22,0.9999,0
Cervus elaphus,23,0,0
Crocodylus johnsoni,1,0.1474653,0
Crocodylus johnsoni,2,0.21650445,0
Crocodylus johnsoni,3,0.21990165,0
Crocodylus johnsoni,4,0.1996749,0
Crocodylus johnsoni,5,0.21940995,0
Crocodylus johnsoni,6,0.2088831,0
Crocodylus johnsoni,7,0.20115,0
Crocodylus johnsoni,8,0.20115,0
Crocodylus johnsoni,9,0.2124591,0
Crocodylus johnsoni,10,0.2147835,0
Crocodylus johnsoni,11,0.21140865,0
Crocodylus johnsoni,12,0.21391185,0.2209
Crocodylus johnsoni,13,0.2034744,0.3441
Crocodylus johnsoni,14,0.2015076,0.4742
Crocodylus johnsoni,15,0.21131925,0.7324
Crocodylus johnsoni,16,0.21060405,1.0022
Crocodylus johnsoni,17,0.18700245,1.5384
Crocodylus johnsoni,18,0.2125932,2.0939
Crocodylus johnsoni,19,0.2177784,2.6659
Crocodylus johnsoni,20,0.21762195,3.2523
Crocodylus johnsoni,21,0.19330515,3.8509
Crocodylus johnsoni,22,0.1955625,4.4599
Crocodylus johnsoni,23,0.2075421,4.7958
Crocodylus johnsoni,24,0.1375419,5.133
Crocodylus johnsoni,25,0.20953125,5.4712
Crocodylus johnsoni,26,0.2235,5.81
Crocodylus johnsoni,27,0.20859255,5.8564
Crocodylus johnsoni,28,0.2235,5.8987
Crocodylus johnsoni,29,0.2075421,5.9373
Crocodylus johnsoni,30,0.15472905,5.9725
Crocodylus johnsoni,31,0.2235,6.0045
Crocodylus johnsoni,32,0.19866915,6.0337
Crocodylus johnsoni,33,0.1955625,6.0604
Crocodylus johnsoni,34,0.15964605,6.0847
Crocodylus johnsoni,35,0.1788,6.1068
Crocodylus johnsoni,36,0.2235,6.127
Crocodylus johnsoni,37,0.167625,6.1455
Crocodylus johnsoni,38,0.2235,6.1622
Crocodylus johnsoni,39,0.14900745,6.1775
Crocodylus johnsoni,40,0.2235,6.1915
Crocodylus johnsoni,41,0.2235,6.2042
Crocodylus johnsoni,42,0.2235,6.2158
Crocodylus johnsoni,43,0.2235,6.2264
Crocodylus johnsoni,44,0.11175,6.236
Crocodylus johnsoni,45,0.2235,6.2448
Crocodylus johnsoni,46,0.2235,6.2528
Crocodylus johnsoni,47,0.2235,6.2601
Crocodylus johnsoni,48,0.2235,6.2668
Crocodylus johnsoni,49,0.2235,6.2729
Crocodylus johnsoni,50,0.2235,6.2784
Crocodylus johnsoni,51,0.2235,6.2835
Crocodylus johnsoni,52,0.2235,6.2881
Crocodylus johnsoni,53,0.2235,6.2923
Crocodylus johnsoni,54,0,6.2961
Cygnus olor,1,0.666026871,0
Cygnus olor,2,0.793435438,0.001080692
Cygnus olor,3,0.851429117,0.007692308
Cygnus olor,4,0.848834136,0.024894068
Cygnus olor,5,0.809460972,0.036691542
Cygnus olor,6,0.808912358,0.049770291
Cygnus olor,7,0.784149676,0.043396226
Cygnus olor,8,0.786318738,0.06235012
Cygnus olor,9,0.842146562,0.045592705
Cygnus olor,10,0.846069402,0.059352518
Cygnus olor,11,0.815049693,0.059322034
Cygnus olor,12,0.784919396,0.059585492
Cygnus olor,13,0.760594504,0.042763158
Cygnus olor,14,0.721705606,0.051724138
Cygnus olor,15,0.676292158,0.029761905
Cygnus olor,16,0.821791763,0.026315789
Cygnus olor,17,0.508923102,0.010638298
