"age","sx","fx"
0,0.9999,0
1,0.840407470288625,0
2,0.913131313131313,0
3,0.900442477876106,0.0353982300884956
4,0.906633906633907,0.108108108108108
5,0.913279132791328,0.0962059620596206
6,0.908011869436202,0.0949554896142433
7,0.928104575163399,0.13562091503268
8,0.915492957746479,0.125
9,0.892307692307692,0.126923076923077
10,0.875,0.129310344827586
11,0.83743842364532,0.0985221674876847
12,0.782352941176471,0.1
13,0.736842105263158,0.0864661654135338
14,0.663265306122449,0.076530612244898
15,0.676923076923077,0.0384615384615385
16,0.545454545454545,0.0454545454545455
17,0.625,0.0208333333333333
18,0.4,0.0333333333333333
19,0.166666666666667,0
20,0.9999,0
21,0.9999,0
22,0.9999,0
23,0,0
