"age","sx","fx"
0,0.2235,0
1,0.6598,0
2,0.9687,0
3,0.9839,0
4,0.8934,0
5,0.9817,0
6,0.9346,0
7,0.9,0
8,0.9,0
9,0.9506,0
10,0.961,0
11,0.9459,0
12,0.9571,0.2209
13,0.9104,0.3441
14,0.9016,0.4742
15,0.9455,0.7324
16,0.9423,1.0022
17,0.8367,1.5384
18,0.9512,2.0939
19,0.9744,2.6659
20,0.9737,3.2523
21,0.8649,3.8509
22,0.875,4.4599
23,0.9286,4.7958
24,0.6154,5.133
25,0.9375,5.4712
26,0.9999,5.81
27,0.9333,5.8564
28,0.9999,5.8987
29,0.9286,5.9373
30,0.6923,5.9725
31,0.9999,6.0045
32,0.8889,6.0337
33,0.875,6.0604
34,0.7143,6.0847
35,0.8,6.1068
36,0.9999,6.127
37,0.75,6.1455
38,0.9999,6.1622
39,0.6667,6.1775
40,0.9999,6.1915
41,0.9999,6.2042
42,0.9999,6.2158
43,0.9999,6.2264
44,0.5,6.236
45,0.9999,6.2448
46,0.9999,6.2528
47,0.9999,6.2601
48,0.9999,6.2668
49,0.9999,6.2729
50,0.9999,6.2784
51,0.9999,6.2835
52,0.9999,6.2881
53,0.9999,6.2923
54,0,6.2961
