"age","sx","fx"
0,0.46984,0
1,0.764473012,0
2,0.771117546,0
3,0.779326281,0
4,0.787769284,0
5,0.795989179,0
6,0.804432952,0
7,0.813096988,0
8,0.821416469,0
9,0.830033003,0
10,0.838303512,0
11,0.847826087,0
12,0.861771562,0.37775136
13,0.874492832,0.43789088
14,0.887411073,0.74610592
15,0.899965145,1.09049864
16,0.908597986,1.21641576
17,0.917306053,1.44522784
18,0.923791822,1.54295456
19,0.927565392,1.58571
20,0.931670282,1.72807152
21,0.934807916,1.75673176
22,0.936488169,1.8041856
23,0.938164894,1.82156968
24,0.939050319,1.8370744
25,0.940377358,1.85257912
26,0.94141252,1.86667432
27,0.942028986,1.88076952
28,0.943891403,1.89439488
29,0.944391179,1.90942976
30,0.945177665,1.92258528
31,0.946294307,1.93527096
32,0.946651532,1.94795664
33,0.948441247,1.96064232
34,0.948166877,1.973328
35,0.949333333,1.985074
36,0.950842697,1.99682
37,0.949778434,2.008566
38,0.951788491,2.020312
39,0.952614379,2.03158816
40,0.953687822,2.04286432
41,0.95323741,2.05367064
42,0.954716981,2.0649468
43,0.954545455,2.07575312
44,0.956521739,2.0860896
45,0.954545455,2.09642608
46,0.9569161,2.10629272
47,0.957345972,2.1166292
48,0.957920792,2.12649584
49,0.958656331,2.13589264
50,0.959568733,2.14528944
51,0.957865169,2.15468624
52,0.961876833,2.16408304
53,0.960365854,2.17254016
54,0.958730159,2.18146712
55,0.963576159,2.18992424
56,0.958762887,2.1988512
57,0.964157706,2.20777816
58,0.962825279,2.21576544
59,0.961389961,2.22422256
60,0.963855422,2.23220984
61,0.9625,2.24019712
62,0.965367965,2.24771456
63,0.964125561,2.25476216
64,0.96744186,2.2622796
65,0.961538462,2.2693272
66,0.965,2.2763748
67,0.968911917,2.28295256
68,0.962566845,2.29000016
69,0.966666667,2.2975176
70,0.971264368,2.30362552
71,0.964497041,2.31020328
72,0.969325153,2.3163112
73,0.96835443,2.32288896
74,0.967320261,2.3280572
