"age","sx","fx"
0,0.99788,0
1,0.999649256,0
2,0.999829579,0
3,0.999839576,0
4,0.999889691,0
5,0.999869621,0
6,0.999899695,0
7,0.9999298,0
8,0.9999298,0
9,0.9999298,0
10,0.9999197,0
11,0.9999599,0
12,0.9999197,0
13,0.9999197,0
14,0.9999297,0
15,0.999889591,0.005024
16,0.999869503,0.005024
17,0.999829328,0.005024
18,0.999829298,0.005024
19,0.999779054,0.005024
20,0.999718734,0.036118
21,0.999738751,0.036118
22,0.999708531,0.036118
23,0.999698392,0.036118
24,0.999728471,0.036118
25,0.99968816,0.085475
26,0.999647813,0.085475
27,0.999687953,0.085475
28,0.999667717,0.085475
29,0.999637389,0.085475
30,0.999687639,0.090172
31,0.999596827,0.090172
32,0.999586581,0.090172
33,0.999596498,0.090172
34,0.999545877,0.090172
35,0.999495189,0.040886
36,0.999505036,0.040886
37,0.999393621,0.040886
38,0.999362916,0.040886
39,0.999322034,0.040886
40,0.999311448,0.006172
41,0.999169115,0.006172
42,0.999158283,0.006172
43,0.999116975,0.006172
44,0.998933339,0.006172
45,0.998901691,0.000153
46,0.998808857,0.000153
47,0.998736087,0.000153
48,0.99863243,0.000153
49,0.998426162,0.000153
50,0.99840321,0
51,0.998195612,0
52,0.998089643,0
53,0.997941921,0
54,0.997793314,0
55,0.997705758,0
56,0.997462244,0
57,0.997362327,0
58,0.997105463,0
59,0.996836005,0
60,0.99662693,0
61,0.996142527,0
62,0.995895455,0
63,0.996302339,0
64,0.995512309,0
65,0.995022059,0
66,0.994782441,0
67,0.994042801,0
68,0.993529405,0
69,0.993006458,0
70,0.992495021,0
71,0.991152111,0
72,0.990334814,0
73,0.988997955,0
74,0.988133173,0
75,0.986279994,0
76,0.984120287,0
77,0.98228023,0
78,0.979632907,0
79,0.977712051,0
80,0.973267515,0
81,0.970569493,0
82,0.965978829,0
83,0.961423756,0
84,0.955302265,0
85,0.948846131,0
86,0.941329089,0
87,0.932531832,0
88,0.923461894,0
89,0.911247251,0
90,0.905856749,0
91,0.89110112,0
92,0.877686127,0
93,0.860184312,0
94,0.84608585,0
95,0.830582139,0
96,0.812176101,0
97,0.792652707,0
98,0.77202032,0
99,0.750455558,0
100,0.728180224,0
101,0.705261208,0
102,0.68190176,0
103,0.658320493,0
104,0.635459333,0
105,0.612338858,0
106,0.589473684,0
107,0.566326531,0
108,0.54954955,0
109,0.524590164,0
