"age","sx","fx"
0,0.90279,0
1,0.968187508,0
2,0.980230416,0
3,0.984978816,0
4,0.98804389,0
5,0.990573618,0
6,0.992905311,0
7,0.994025192,0
8,0.994958354,0
9,0.995462952,0
10,0.995578509,0
11,0.99620576,0
12,0.996353646,0
13,0.996478167,2e-05
14,0.996226747,2e-05
15,0.995694825,0.00046
16,0.995574772,0.0021
17,0.995504158,0.00636
18,0.995202395,0.01557
19,0.994497937,0.03365
20,0.995087964,0.06042
21,0.99463504,0.08219
22,0.994802006,0.10817
23,0.994262833,0.12756
24,0.99438818,0.1547
25,0.993891751,0.17495
26,0.99381413,0.18846
27,0.993842845,0.19945
28,0.994142871,0.2032
29,0.993509674,0.21127
30,0.993878138,0.22218
31,0.993647513,0.21155
32,0.993274071,0.21136
33,0.992949291,0.20766
34,0.993588211,0.19658
35,0.992895858,0.20079
36,0.99348641,0.19402
37,0.993328934,0.19093
38,0.992836407,0.16862
39,0.990995447,0.16557
40,0.992616405,0.15171
41,0.991215747,0.12601
42,0.992018142,0.10431
43,0.99294652,0.08399
44,0.990473017,0.05696
45,0.991482399,0.03564
46,0.991455496,0.02068
47,0.990961841,0.00963
48,0.99135035,0.00555
49,0.991860778,0.00183
50,0.990213452,0.00097
51,0.989568554,0
52,0.989670398,0
53,0.988508964,0
54,0.989274711,0
55,0.987626471,0
56,0.987164627,0
57,0.986065305,0
58,0.98471264,0
59,0.984119645,0
60,0.982092519,0
61,0.979889234,0
62,0.977392219,0
63,0.979270729,0
64,0.975202558,0
65,0.972399364,0
66,0.967788651,0
67,0.965626336,0
68,0.963738599,0
69,0.956861304,0
70,0.954676397,0
71,0.953002414,0
72,0.942135676,0
73,0.938301686,0
74,0.930424141,0
75,0.925766714,0
76,0.922032019,0
77,0.911831028,0
78,0.89741159,0
79,0.894134938,0
80,0.878107664,0
81,0.87774203,0
82,0.868777074,0
83,0.850184106,0
84,0.835243165,0
85,0.812898347,0
86,0.797475083,0
87,0.786368939,0
88,0.760118669,0
89,0.757178701,0
90,0.724963181,0
91,0.704926359,0
92,0.68443804,0
93,0.664210526,0
94,0.643423138,0
95,0.623152709,0
96,0.604743083,0
97,0.581699346,0
98,0.561797753,0
99,0.56,0
100,0.535714286,0
101,0.466666667,0
102,0.571428571,0
103,0.5,0
104,0.5,0
105,0,0
