"age","sx","fx"
0,0.464656964656965,0.0883575883575884
1,0.771812080536913,0.294183445190157
2,0.884057971014493,0.423188405797101
3,0.918032786885246,0.519672131147541
4,0.903571428571429,0.482142857142857
5,0.83399209486166,0.466403162055336
6,0.843601895734597,0.490521327014218
7,0.792134831460674,0.491573033707865
8,0.645390070921986,0.365248226950355
9,0.626373626373626,0.346153846153846
10,0.491228070175439,0.280701754385965
11,0.678571428571429,0.125
12,0.578947368421053,0.131578947368421
13,0.727272727272727,0.0454545454545455
14,0.5,0
15,0.25,0
16,0,0
