model,mean_lifespan,var_lifespan,skew_lifespan,mean_LRO,var_LRO,skew_LRO,species,sheet
Senescence,2.186885232,3.291334551,1.837016013,4.817971257,31.61875044,1.920142814,Accipiter nisus,Accipiter nisus
No-senescence,2.197829033,3.470698629,2.035523999,4.90755814,35.4757359,2.221173958,Accipiter nisus,Accipiter nisus
No-actuarial/Yes-reproductive,2.197829033,3.470698629,2.035523999,4.817761422,31.61186694,1.919853613,Accipiter nisus,Accipiter nisus
Yes-actuarial/No-reproductive,2.186885232,3.291334551,1.837016013,4.875991277,33.89153961,2.066978177,Accipiter nisus,Accipiter nisus
Senescence,5.674157303,15.99495013,0.243029319,2.471910112,6.262441729,0.88778901,Capreolus capreolus,Capreolus capreolus
No-senescence,5.77834525,32.83355713,2.05831767,2.632277835,11.83739911,2.118011863,Capreolus capreolus,Capreolus capreolus
No-actuarial/Yes-reproductive,5.77834525,32.83355713,2.05831767,2.621931898,11.78974715,2.384708763,Capreolus capreolus,Capreolus capreolus
Yes-actuarial/No-reproductive,5.674157303,15.99495013,0.243029319,2.577679343,7.154619619,0.958816886,Capreolus capreolus,Capreolus capreolus
Senescence,7.628182343,27.34050104,0.300794971,0.558573854,0.805220688,1.832914881,Cervus elaphus,Cervus elaphus
No-senescence,7.922621867,40.90623341,1.399781169,0.604436455,1.046542959,2.250723086,Cervus elaphus,Cervus elaphus
No-actuarial/Yes-reproductive,7.922621867,40.90623341,1.399781169,0.536682866,0.774072232,1.893882807,Cervus elaphus,Cervus elaphus
Yes-actuarial/No-reproductive,7.628182343,27.34050104,0.300794971,0.57226206,0.854529416,1.883653743,Cervus elaphus,Cervus elaphus
Senescence,4.550312951,17.99036702,1.368455701,0.105440539,0.133932452,4.066688341,Cygnus olor,Cygnus olor
No-senescence,4.552955806,19.42662912,1.860312259,0.107747408,0.142812777,4.272394932,Cygnus olor,Cygnus olor
No-actuarial/Yes-reproductive,4.552955806,19.42662912,1.860312259,0.10213651,0.128691179,4.106967031,Cygnus olor,Cygnus olor
Yes-actuarial/No-reproductive,4.550312951,17.99036702,1.368455701,0.1076112,0.138877767,4.100304472,Cygnus olor,Cygnus olor
Senescence,86.10312511,163.0238296,-1.887929243,1.312622721,1.320299022,0.874561358,Homo sapiens (Japan2009Female),Homo sapiens (Japan2009Female)
No-senescence,87.1153437,3258.95371,1.990640294,1.402530068,1.871126952,1.341191731,Homo sapiens (Japan2009Female),Homo sapiens (Japan2009Female)
No-actuarial/Yes-reproductive,87.1153437,3258.95371,1.990640294,1.278540644,1.295643484,0.894122554,Homo sapiens (Japan2009Female),Homo sapiens (Japan2009Female)
Yes-actuarial/No-reproductive,86.10312511,163.0238296,-1.887929243,1.390452929,1.418268906,0.864349392,Homo sapiens (Japan2009Female),Homo sapiens (Japan2009Female)
Senescence,57.6445463,722.5791799,-0.852960113,3.298341354,5.723227436,0.364103697,Homo sapiens (Sweden1891Female),Homo sapiens (Sweden1891Female)
No-senescence,58.25683154,1788.520479,1.554154341,3.465843218,10.80889496,1.498713208,Homo sapiens (Sweden1891Female),Homo sapiens (Sweden1891Female)
No-actuarial/Yes-reproductive,58.25683154,1788.520479,1.554154341,3.125258134,5.486688261,0.443644061,Homo sapiens (Sweden1891Female),Homo sapiens (Sweden1891Female)
Yes-actuarial/No-reproductive,57.6445463,722.5791799,-0.852960113,3.42784339,6.659207055,0.460149603,Homo sapiens (Sweden1891Female),Homo sapiens (Sweden1891Female)
Senescence,2.17105238,1.876904638,1.500943075,0.126021744,0.164126834,3.857468083,Lacerta vivipara,Lacerta vivipara
No-senescence,2.162127265,1.800472354,1.394672648,0.125702687,0.163308625,3.850702222,Lacerta vivipara,Lacerta vivipara
No-actuarial/Yes-reproductive,2.162127265,1.800472354,1.394672648,0.124543745,0.160658025,3.835283659,Lacerta vivipara,Lacerta vivipara
Yes-actuarial/No-reproductive,2.17105238,1.876904638,1.500943075,0.12726372,0.167054043,3.875482248,Lacerta vivipara,Lacerta vivipara
Senescence,2.422222222,5.692839506,1.976207772,0.208888889,0.382597648,3.803431616,Marmota flaviventris,Marmota flaviventris
No-senescence,2.432380952,5.888783673,2.066498145,0.213015873,0.401589006,3.879694259,Marmota flaviventris,Marmota flaviventris
No-actuarial/Yes-reproductive,2.432380952,5.888783673,2.066498145,0.21015873,0.388236408,3.824376907,Marmota flaviventris,Marmota flaviventris
Yes-actuarial/No-reproductive,2.422222222,5.692839506,1.976207772,0.210707071,0.390369267,3.827113083,Marmota flaviventris,Marmota flaviventris
Senescence,3.544303797,4.754366287,1.046376696,1.822971429,3.036811585,1.161633984,Microtus oeconomus,Microtus oeconomus
No-senescence,3.569620253,5.713507451,1.938154611,1.922881793,3.820735327,1.575232834,Microtus oeconomus,Microtus oeconomus
No-actuarial/Yes-reproductive,3.569620253,5.713507451,1.938154611,1.819161905,3.018128737,1.157519646,Microtus oeconomus,Microtus oeconomus
Yes-actuarial/No-reproductive,3.544303797,4.754366287,1.046376696,1.910190476,3.55844369,1.311555389,Microtus oeconomus,Microtus oeconomus
Senescence,23.93584086,86.88556518,-1.395181316,1.027584407,1.250801495,1.086852196,Orcinus orca,Orcinus orca
No-senescence,24.75704591,193.6136332,0.921366811,1.132248541,1.792916687,1.540202419,Orcinus orca,Orcinus orca
No-actuarial/Yes-reproductive,24.75704591,193.6136332,0.921366811,0.942716152,1.152009724,1.167119229,Orcinus orca,Orcinus orca
Yes-actuarial/No-reproductive,23.93584086,86.88556518,-1.395181316,1.082987281,1.360864119,1.089555419,Orcinus orca,Orcinus orca
Senescence,5.322147651,12.58525892,0.384032015,2.204697987,4.353961174,0.941401099,Ovis aries,Ovis aries
No-senescence,5.713463161,24.29837734,1.76390814,2.429456853,7.336613248,1.80974175,Ovis aries,Ovis aries
No-actuarial/Yes-reproductive,5.713463161,24.29837734,1.76390814,2.133809889,4.342333425,1.043605234,Ovis aries,Ovis aries
Yes-actuarial/No-reproductive,5.322147651,12.58525892,0.384032015,2.254881313,4.824477127,1.080329734,Ovis aries,Ovis aries
Senescence,7.835554451,25.80982075,0.013019787,2.416739664,5.961486133,0.846700372,Panthera leo,Panthera leo
No-senescence,8.014703948,30.71988435,0.481074197,2.555916421,7.146977276,1.057003357,Panthera leo,Panthera leo
No-actuarial/Yes-reproductive,8.014703948,30.71988435,0.481074197,2.401304183,5.899300917,0.853849557,Panthera leo,Panthera leo
Yes-actuarial/No-reproductive,7.835554451,25.80982075,0.013019787,2.492648664,6.443978274,0.88129813,Panthera leo,Panthera leo
Senescence,9.522456472,54.00984976,0.339847034,1.524281421,3.967935524,1.386605072,Papio cynocephalus,Papio cynocephalus
No-senescence,9.526308587,54.16653966,0.348458985,1.532150642,4.030947679,1.404625731,Papio cynocephalus,Papio cynocephalus
No-actuarial/Yes-reproductive,9.526308587,54.16653966,0.348458985,1.523593194,3.962936847,1.385574449,Papio cynocephalus,Papio cynocephalus
Yes-actuarial/No-reproductive,9.522456472,54.00984976,0.339847034,1.531301982,4.022259313,1.400391061,Papio cynocephalus,Papio cynocephalus
Senescence,1.742845029,1.218374183,1.766953922,0.308776765,0.34965855,2.149316019,Parus major,Parus major
No-senescence,1.75153605,1.308463532,2.060513628,0.311935505,0.358235896,2.196093591,Parus major,Parus major
No-actuarial/Yes-reproductive,1.75153605,1.308463532,2.060513628,0.309327101,0.351049837,2.155559829,Parus major,Parus major
Yes-actuarial/No-reproductive,1.742845029,1.218374183,1.766953922,0.310337256,0.353559507,2.166958826,Parus major,Parus major
Senescence,4.548333333,2.507663889,0.266519557,1.002476667,1.231583161,1.243166329,Rupicapra rupicapra,Rupicapra rupicapra
No-senescence,4.712259259,3.716313743,1.142909233,1.08866363,1.49725765,1.437674411,Rupicapra rupicapra,Rupicapra rupicapra
No-actuarial/Yes-reproductive,4.712259259,3.716313743,1.142909233,1.024619326,1.284178294,1.259161596,Rupicapra rupicapra,Rupicapra rupicapra
Yes-actuarial/No-reproductive,4.548333333,2.507663889,0.266519557,1.034062208,1.308323009,1.277229115,Rupicapra rupicapra,Rupicapra rupicapra
