"species","Model_Code","Metric_Code","Trait_Code","pct_change","Model","Metric"
"Accipiter nisus","NoPeak","Mean","Lifespan",-0.500428662486596,"No-senescence-peak","Mean Lifespan"
"Accipiter nisus","NoPeak","Var","Lifespan",-5.44958510211277,"No-senescence-peak","Variance Lifespan"
"Accipiter nisus","NoPeak","Skew","Lifespan",-10.8060019538579,"No-senescence-peak","Skewness Lifespan"
"Accipiter nisus","NoEarly","Mean","Lifespan",-0.511054083104387,"No-senescence-early","Mean Lifespan"
"Accipiter nisus","NoEarly","Var","Lifespan",-11.7418711181264,"No-senescence-early","Variance Lifespan"
"Accipiter nisus","NoEarly","Skew","Lifespan",-32.1227931112594,"No-senescence-early","Skewness Lifespan"
"Accipiter nisus","NoLate","Mean","Lifespan",-0.0932634677371421,"No-senescence-late","Mean Lifespan"
"Accipiter nisus","NoLate","Var","Lifespan",-1.02858324163896,"No-senescence-late","Variance Lifespan"
"Accipiter nisus","NoLate","Skew","Lifespan",-2.16546334262395,"No-senescence-late","Skewness Lifespan"
"Accipiter nisus","NoPeak","Mean","LRO",-1.85943165538718,"No-senescence-peak","Mean LRO"
"Accipiter nisus","NoPeak","Var","LRO",-12.1984120258039,"No-senescence-peak","Variance LRO"
"Accipiter nisus","NoPeak","Skew","LRO",-15.6775392904354,"No-senescence-peak","Skewness LRO"
"Accipiter nisus","NoEarly","Mean","LRO",3.26060327674093,"No-senescence-early","Mean LRO"
"Accipiter nisus","NoEarly","Var","LRO",2.95009024836996,"No-senescence-early","Variance LRO"
"Accipiter nisus","NoEarly","Skew","LRO",-29.1858497646395,"No-senescence-early","Skewness LRO"
"Accipiter nisus","NoLate","Mean","LRO",-0.561060522048927,"No-senescence-late","Mean LRO"
"Accipiter nisus","NoLate","Var","LRO",-3.34832081463324,"No-senescence-late","Variance LRO"
"Accipiter nisus","NoLate","Skew","LRO",-3.73933051833224,"No-senescence-late","Skewness LRO"
"Capreolus capreolus","NoPeak","Mean","Lifespan",-1.56104180574278,"No-senescence-peak","Mean Lifespan"
"Capreolus capreolus","NoPeak","Var","Lifespan",-105.254079673186,"No-senescence-peak","Variance Lifespan"
"Capreolus capreolus","NoPeak","Skew","Lifespan",-746.662851936729,"No-senescence-peak","Skewness Lifespan"
"Capreolus capreolus","NoEarly","Mean","Lifespan",-1.56104180574278,"No-senescence-early","Mean Lifespan"
"Capreolus capreolus","NoEarly","Var","Lifespan",-105.254079673186,"No-senescence-early","Variance Lifespan"
"Capreolus capreolus","NoEarly","Skew","Lifespan",-746.662851936729,"No-senescence-early","Skewness Lifespan"
"Capreolus capreolus","NoLate","Mean","Lifespan",0,"No-senescence-late","Mean Lifespan"
"Capreolus capreolus","NoLate","Var","Lifespan",0,"No-senescence-late","Variance Lifespan"
"Capreolus capreolus","NoLate","Skew","Lifespan",0,"No-senescence-late","Skewness Lifespan"
"Capreolus capreolus","NoPeak","Mean","LRO",-6.48760330578518,"No-senescence-peak","Mean LRO"
"Capreolus capreolus","NoPeak","Var","LRO",-89.0147255975794,"No-senescence-peak","Variance LRO"
"Capreolus capreolus","NoPeak","Skew","LRO",-138.552580695123,"No-senescence-peak","Skewness LRO"
"Capreolus capreolus","NoEarly","Mean","LRO",-6.48760330578518,"No-senescence-early","Mean LRO"
"Capreolus capreolus","NoEarly","Var","LRO",-89.0147255975794,"No-senescence-early","Variance LRO"
"Capreolus capreolus","NoEarly","Skew","LRO",-138.552580695123,"No-senescence-early","Skewness LRO"
"Capreolus capreolus","NoLate","Mean","LRO",0,"No-senescence-late","Mean LRO"
"Capreolus capreolus","NoLate","Var","LRO",0,"No-senescence-late","Variance LRO"
"Capreolus capreolus","NoLate","Skew","LRO",0,"No-senescence-late","Skewness LRO"
"Cervus elaphus","NoPeak","Mean","Lifespan",-3.41249291715731,"No-senescence-peak","Mean Lifespan"
"Cervus elaphus","NoPeak","Var","Lifespan",-49.6088331965172,"No-senescence-peak","Variance Lifespan"
"Cervus elaphus","NoPeak","Skew","Lifespan",-365.265585974409,"No-senescence-peak","Skewness Lifespan"
"Cervus elaphus","NoEarly","Mean","Lifespan",-2.57605304881313,"No-senescence-early","Mean Lifespan"
"Cervus elaphus","NoEarly","Var","Lifespan",-77.6175306510414,"No-senescence-early","Variance Lifespan"
"Cervus elaphus","NoEarly","Skew","Lifespan",-513.455938110153,"No-senescence-early","Skewness Lifespan"
"Cervus elaphus","NoLate","Mean","Lifespan",-0.232113047206254,"No-senescence-late","Mean Lifespan"
"Cervus elaphus","NoLate","Var","Lifespan",-2.08241361276016,"No-senescence-late","Variance Lifespan"
"Cervus elaphus","NoLate","Skew","Lifespan",-20.2912139561633,"No-senescence-late","Skewness Lifespan"
"Cervus elaphus","NoPeak","Mean","LRO",-8.21066015058508,"No-senescence-peak","Mean LRO"
"Cervus elaphus","NoPeak","Var","LRO",-29.9692069275585,"No-senescence-peak","Variance LRO"
"Cervus elaphus","NoPeak","Skew","LRO",-22.7930987527738,"No-senescence-peak","Skewness LRO"
"Cervus elaphus","NoEarly","Mean","LRO",-4.49131087428964,"No-senescence-early","Mean LRO"
"Cervus elaphus","NoEarly","Var","LRO",-34.8252233097338,"No-senescence-early","Variance LRO"
"Cervus elaphus","NoEarly","Skew","LRO",-36.0303992365221,"No-senescence-early","Skewness LRO"
"Cervus elaphus","NoLate","Mean","LRO",-0.949072638173845,"No-senescence-late","Mean LRO"
"Cervus elaphus","NoLate","Var","LRO",-1.78927199653389,"No-senescence-late","Variance LRO"
"Cervus elaphus","NoLate","Skew","LRO",-0.357012573638837,"No-senescence-late","Skewness LRO"
"Crocodylus johnsoni","NoPeak","Mean","Lifespan",0,"No-senescence-peak","Mean Lifespan"
"Crocodylus johnsoni","NoPeak","Var","Lifespan",0,"No-senescence-peak","Variance Lifespan"
"Crocodylus johnsoni","NoPeak","Skew","Lifespan",0,"No-senescence-peak","Skewness Lifespan"
"Crocodylus johnsoni","NoEarly","Mean","Lifespan",-1.04596720635709,"No-senescence-early","Mean Lifespan"
"Crocodylus johnsoni","NoEarly","Var","Lifespan",-5.28917302351304,"No-senescence-early","Variance Lifespan"
"Crocodylus johnsoni","NoEarly","Skew","Lifespan",-3.86180588224027,"No-senescence-early","Skewness Lifespan"
"Crocodylus johnsoni","NoLate","Mean","Lifespan",0,"No-senescence-late","Mean Lifespan"
"Crocodylus johnsoni","NoLate","Var","Lifespan",0,"No-senescence-late","Variance Lifespan"
"Crocodylus johnsoni","NoLate","Skew","Lifespan",0,"No-senescence-late","Skewness Lifespan"
"Crocodylus johnsoni","NoPeak","Mean","LRO",0,"No-senescence-peak","Mean LRO"
"Crocodylus johnsoni","NoPeak","Var","LRO",0,"No-senescence-peak","Variance LRO"
"Crocodylus johnsoni","NoPeak","Skew","LRO",0,"No-senescence-peak","Skewness LRO"
"Crocodylus johnsoni","NoEarly","Mean","LRO",-3.94953071125151,"No-senescence-early","Mean LRO"
"Crocodylus johnsoni","NoEarly","Var","LRO",-0.0630421164654262,"No-senescence-early","Variance LRO"
"Crocodylus johnsoni","NoEarly","Skew","LRO",4.00317031468942,"No-senescence-early","Skewness LRO"
"Crocodylus johnsoni","NoLate","Mean","LRO",0,"No-senescence-late","Mean LRO"
"Crocodylus johnsoni","NoLate","Var","LRO",0,"No-senescence-late","Variance LRO"
"Crocodylus johnsoni","NoLate","Skew","LRO",0,"No-senescence-late","Skewness LRO"
"Cygnus olor","NoPeak","Mean","Lifespan",-0.047587417712148,"No-senescence-peak","Mean Lifespan"
"Cygnus olor","NoPeak","Var","Lifespan",-7.95320981724209,"No-senescence-peak","Variance Lifespan"
